rank,lei,institution_name,city,state,total_loans,white_rate,black_rate,asian_rate,native_rate,black_gap,asian_gap,native_gap,fairness_score,white_count,black_count,asian_count,native_count
111,PAOOWF3GUFM46FBSP561,PHH Mortgage Corporation,Mount Laurel,US-NJ,2789,0.4113,0.329,0.3086,0.25,0.0823,0.1027,0.1613,0.0823,1906.0,778.0,81.0,24.0
112,5493007VW2EU20PZYU97,INSPIRE HOME LOANS INC.,WILMINGTON,US-DE,2173,0.9379,0.8552,0.9505,0.8,0.0827,-0.0126,0.1379,0.0827,1015.0,663.0,485.0,10.0
113,549300BFJ8COFCPOMU05,SOVEREIGN LENDING GROUP INCORPORATED,COSTA MESA,US-CA,1567,0.6115,0.5286,0.5106,0.375,0.0829,0.1009,0.2365,0.0829,1058.0,454.0,47.0,8.0
114,X05BVSK68TQ7YTOSNR22,Discover Bank,Greenwood,US-DE,15789,0.2546,0.1701,0.2127,0.1551,0.0845,0.0418,0.0995,0.0845,12186.0,2446.0,912.0,245.0
115,549300KHXD7JSQUZIJ22,"HIGHLANDS RESIDENTIAL MORTGAGE, LTD.",DALLAS,US-TX,9183,0.9562,0.8715,0.938,0.9167,0.0848,0.0183,0.0396,0.0848,8251.0,638.0,258.0,36.0
116,549300838ZAWQIH9V751,R T P Federal Credit Union,Morrisville,US-NC,506,0.9368,0.8512,0.9459,,0.0855,-0.0092,,0.0855,348.0,121.0,37.0,
117,549300PL8ER6H23P0Z91,BAY EQUITY LLC,GLENDALE,US-CA,1349,0.9427,0.8571,0.9304,1.0,0.0856,0.0123,-0.0573,0.0856,1047.0,140.0,158.0,4.0
118,549300BTTR873E71L054,Integrity Home Mortgage Corporation,Mechanicsville,US-VA,1038,0.9544,0.8684,1.0,0.9444,0.086,-0.0456,0.01,0.086,878.0,114.0,28.0,18.0
119,5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",Richmond,US-VA,11045,0.9696,0.8836,0.9497,0.9444,0.0861,0.02,0.0252,0.0861,9779.0,773.0,457.0,36.0
120,549300OYEKEORA1GI088,"GoPrime Mortgage, Inc.",Apex,US-NC,8898,0.965,0.8756,0.9673,0.9474,0.0895,-0.0022,0.0177,0.0895,7891.0,675.0,275.0,57.0
121,549300RYWXR8TL5LIK35,"ALLIED MORTGAGE GROUP, INC.",BALA CYNWYD,US-PA,536,0.9496,0.8598,1.0,0.5,0.0898,-0.0504,0.4496,0.0898,397.0,107.0,30.0,2.0
122,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",WILMINGTON,US-DE,24097,0.7989,0.7089,0.8269,0.6721,0.09,-0.028,0.1268,0.09,17437.0,4648.0,1768.0,244.0
123,549300GY4NTTEM7WWB64,Bank of England,England,US-AR,1396,0.911,0.8203,0.92,0.75,0.0907,-0.009,0.161,0.0907,933.0,384.0,75.0,4.0
124,549300GDBIZCOI6TMO49,ANGEL OAK HOME LOANS LLC,ATLANTA,US-GA,5380,0.9481,0.8571,0.9128,0.913,0.0909,0.0353,0.035,0.0909,4851.0,357.0,149.0,23.0
125,549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",DOVER,US-DE,30320,0.7992,0.7076,0.8983,0.6806,0.0915,-0.0992,0.1186,0.0915,19498.0,6170.0,4436.0,216.0
126,7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",Columbus,US-OH,15527,0.8793,0.7876,0.8777,0.6463,0.0917,0.0016,0.2329,0.0917,12757.0,1511.0,1177.0,82.0
127,5493004WMLN60ZJ2ON46,PULTE MORTGAGE LLC,WILMINGTON,US-DE,6920,0.9661,0.8737,0.9523,0.7333,0.0924,0.0138,0.2328,0.0924,3362.0,673.0,2870.0,15.0
128,549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",WILMINGTON,US-DE,23293,0.9559,0.8626,0.9401,0.8902,0.0933,0.0158,0.0658,0.0933,20309.0,1943.0,868.0,173.0
129,549300BLL6VL7AXWYP56,CHURCHILL MORTGAGE CORPORATION,NASHVILLE,US-TN,2249,0.9475,0.8538,0.8571,1.0,0.0937,0.0904,-0.0525,0.0937,2096.0,130.0,14.0,9.0
130,549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",WILMINGTON,US-DE,8215,0.6754,0.5814,0.6698,0.5319,0.0941,0.0056,0.1435,0.0941,5022.0,2993.0,106.0,94.0
131,549300J7I82PNDVU8H22,"OCMBC, INC.",Glendale,US-CA,393,0.6911,0.5965,0.8621,1.0,0.0946,-0.171,-0.3089,0.0946,246.0,114.0,29.0,4.0
132,549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",Sacramento,US-CA,2175,0.8624,0.7676,0.7681,0.7857,0.0948,0.0943,0.0767,0.0948,1752.0,340.0,69.0,14.0
133,549300J7XKT2BI5WX213,"CALIBER HOME LOANS, INC.",WILMINGTON,US-DE,10689,0.9159,0.8192,0.8803,0.8095,0.0968,0.0357,0.1064,0.0968,8647.0,1482.0,476.0,84.0
